# m=-0.7, b=1.2, f=0.51
# x y yerr
1.504557576372874128e-01 1.219227480917604245e+00 2.918737349645407209e-01
2.958279581125704549e-01 3.062698207048520915e-01 5.043202892305453933e-02
4.604327033454083673e-01 9.169621743743683329e-01 1.792565358815853549e-01
4.638279055257992778e-01 1.883494148711790439e+00 3.548616691694010949e-01
5.343436401731306296e-01 1.020846740021176702e+00 2.322497704530130380e-01
5.580989175989951034e-01 8.132986744546373270e-01 1.532712684268067171e-01
6.021082979589228446e-01 6.166775571461442507e-01 5.271080295186109099e-01
6.786536687423684322e-01 1.157235584851542320e+00 1.465898572358010354e-01
9.234450237509810311e-01 1.000130497082214687e+00 3.645357753845577253e-01
9.470626023366525148e-01 5.463819172737207630e-01 1.014518183329384260e-01
9.549757289977458541e-01 8.997689674072203436e-01 2.485587857978394655e-01
1.129907286776551611e+00 3.877994870251213477e-01 6.033380166045246296e-02
1.188673034728632505e+00 5.729542932632935015e-01 1.833496250788791970e-01
1.320212740323309486e+00 7.495212467193849148e-01 3.276795970889559428e-01
1.372687499684105861e+00 -4.548450961471867116e-02 1.519002192769791093e-01
1.380830232827602977e+00 -1.401806817407000860e-01 4.510176194470327249e-01
1.441975427853083636e+00 4.927144979198004315e-01 1.847380282199871382e-01
1.545563799922230475e+00 1.186000183673827785e-01 2.767221092799143634e-01
1.561788958937040173e+00 4.893771166027818809e-01 2.323624412607136480e-01
1.562250272329981815e+00 3.677311495240447869e-01 2.490989681996463867e-01
1.678988181368003207e+00 -1.562633948563874886e-01 1.262797248942774120e-01
1.755265647177616684e+00 4.100472080040500067e-02 1.101180053215350535e-01
1.834458882802973978e+00 7.739890863159074041e-02 2.478875402336633837e-01
1.940427508873401541e+00 -2.580077821294871621e-01 4.535838954775324727e-01
1.985041405673303672e+00 -4.120496810053465575e-01 2.258450301830935980e-01
2.007421479882911086e+00 -1.721714739562934526e-01 1.023534180905094348e-01
2.157114414633955590e+00 -1.647590221918402431e-01 1.473876926565100276e-01
2.171011264452388012e+00 -8.416523026551850917e-01 3.720194280776133455e-01
2.202460236408854133e+00 2.369614439069049894e-01 4.527315354162490535e-01
2.235783806847751354e+00 -7.318355369309628156e-01 3.541510113849859476e-01
