# a=-0.15, b=0.7, c=-0.45
# x y yerr
9.911280926456818297e-02 -3.204581127722248013e-01 7.065182386848806173e-02
1.760312658718193868e-01 -3.084051949575958851e-01 6.165689144401112487e-02
2.469846729546812669e-01 -3.562028911345190840e-01 5.783343769166998660e-02
3.012342266061977525e-01 -2.528708723496471134e-01 5.718232069143537599e-02
4.061959768255372638e-01 -2.341941419456564921e-01 6.774442729186921919e-02
4.866726186770468088e-01 -4.182460890984944502e-02 6.759268488060569957e-02
5.554237545513414087e-01 -3.785889328131769593e-02 7.639933968386371232e-02
6.301251487218425540e-01 -1.134384990781706487e-01 8.708607613853863727e-02
6.924457622571165150e-01 -1.582074614881097130e-01 5.072114386337132907e-02
7.440948634573594234e-01 -5.001204493236582893e-02 7.832473421433497340e-02
8.421586951754217454e-01 -4.927019214050573637e-02 5.239250669252224629e-02
9.194089688660884718e-01 3.884554118246180687e-02 1.086212698578249702e-01
1.004884659376939826e+00 3.766672382515780237e-02 6.475015515705599689e-02
1.091271489895341729e+00 1.298392110579817960e-01 1.048948363454496047e-01
1.202374165448208077e+00 1.328668101096463494e-01 6.290165513206331938e-02
1.253895279266969087e+00 1.245056749494427295e-01 4.853292466471750832e-02
1.312530402860317524e+00 2.609394725983585905e-01 9.927083517564729009e-02
1.361105291734842515e+00 1.169293753448562706e-01 5.383962267797735846e-02
1.464881838646682644e+00 3.028831394826058676e-01 7.324980669732043814e-02
1.563748252002374661e+00 3.514383585155740342e-01 6.493488587749784990e-02
1.658220989209478358e+00 2.526060574689426019e-01 5.011350725902663505e-02
1.681536899669255458e+00 2.523847997518491870e-01 5.078487219837382605e-02
1.753623879583738665e+00 3.520354141735143605e-01 9.380790287703277830e-02
1.814639548487542609e+00 3.622460206430494489e-01 1.195510068899706124e-01
1.935831340420821389e+00 3.004706501892089321e-01 4.294847595949441432e-02
1.991391019502315229e+00 4.524245953478701066e-01 5.118965931839100647e-02
2.061354195682630230e+00 3.981214726473255028e-01 4.839568526211664168e-02
2.164693443244970261e+00 4.079570190078806724e-01 1.740335813100419016e-01
2.216760971095036670e+00 3.037009904112892289e-01 1.251232209075901214e-01
2.273955033374249979e+00 2.833072513823620131e-01 5.144444135118217409e-02
